,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
978,curriculum-strict,easiest-appended,drop-duplicates,0.9054,0.8107253663862607,4633,4421,485,461,0.9676984033236706,0.9685775862965951
1101,baseline,corrects-appended,only-corrects,0.9054,0.810751175442265,4612,4442,464,482,0.9675703380602841,0.9685697452375754
878,no-easy,curriculum-strict,larger-batches-larger-learning-rate,0.9054,0.8107294870917717,4640,4414,492,454,0.968172330828608,0.9690724334205195
456,easiest-interleaved,easiest-appended,only-corrects,0.9054,0.8107255484748574,4630,4424,482,464,0.9675707382017101,0.9685779284577639
966,curriculum-strict,baseline,easiest-appended,0.9054,0.8107253663862607,4633,4421,485,461,0.9676984033236706,0.96857765216922
628,tags-replacement,mispredictions-interleaved,smaller-batches-smaller-learning-rate,0.9054,0.8107294870917717,4640,4414,492,454,0.9682964546989488,0.9694148539751675
482,easiest-interleaved,mispredictions-appended,curriculum-reordered-shuffled,0.9054,0.8107276602743089,4638,4416,490,456,0.9679647574638779,0.9691156407414214
1068,baseline,larger-batches-larger-learning-rate,hardest-appended,0.9054,0.8107263190881283,4628,4426,480,466,0.9684210387319294,0.9696167500252247
946,no-easy,curriculum-strict-shuffled,corrects-appended,0.9053,0.8106535686855182,4587,4466,440,507,0.9679697392246315,0.968895729350082
955,no-easy,hardest-appended,smaller-batches-smaller-learning-rate,0.9053,0.8105353187109576,4619,4434,472,475,0.9681147904915512,0.9692160935350945
1185,drop-duplicates,mispredictions-interleaved,curriculum-reordered-shuffled,0.9053,0.8106216009330681,4670,4383,523,424,0.9682338525728533,0.9693666373247172
1301,curriculum-strict-shuffled,corrects-appended,only-corrects,0.9053,0.8105979404959027,4598,4455,451,496,0.9671675557008869,0.9680830477328144
1182,drop-duplicates,mispredictions-interleaved,curriculum-strict-shuffled,0.9053,0.8105259948443704,4628,4425,481,466,0.9684369643606836,0.9695677760781968
1248,mispredictions-appended,mispredictions-interleaved,corrects-appended,0.9053,0.8107949163475069,4567,4486,420,527,0.9681011456689251,0.9691622965269647
815,smiley-reconstruction,easiest-appended,corrects-appended,0.9053,0.8107177570669816,4577,4476,430,517,0.967663731069109,0.9687063672077423
1001,curriculum-strict,larger-batches-larger-learning-rate,curriculum-strict-shuffled,0.9053,0.8105265117130688,4627,4426,480,467,0.9677100274320956,0.9686066782543857
801,smiley-reconstruction,baseline,mispredictions-interleaved,0.9053,0.8105338218477206,4643,4410,496,451,0.9681363781214833,0.9693219150413046
803,smiley-reconstruction,baseline,hardest-appended,0.9053,0.8105298770573878,4623,4430,476,471,0.9680783176005727,0.9692925978169373
1021,curriculum-strict,mispredictions-interleaved,curriculum-reordered,0.9053,0.8105299188338404,4640,4413,493,454,0.9679407889924616,0.9690724042835005
913,no-easy,drop-duplicates,mispredictions-interleaved,0.9053,0.8105429253898508,4648,4405,501,446,0.9685438621426355,0.9695955381110215
822,smiley-reconstruction,drop-duplicates,mispredictions-interleaved,0.9053,0.8105338218477206,4643,4410,496,451,0.9681363781214833,0.9693219150413046
824,smiley-reconstruction,drop-duplicates,hardest-appended,0.9053,0.8105298770573878,4623,4430,476,471,0.9680783176005727,0.9692925978169373
904,no-easy,easiest-appended,curriculum-strict-shuffled,0.9053,0.8105298770573878,4623,4430,476,471,0.9678778667532253,0.96875679551233
1215,larger-batches-larger-learning-rate,mispredictions-appended,only-corrects,0.9053,0.8105310428307726,4622,4431,475,472,0.9678570794061454,0.9687321453886449
